resource	period	min_cumulative_build_by_year
CAISO_New_Flow_Battery_4	2030	0
CAISO_New_Flow_Battery_5	2020	0
CAISO_New_Flow_Battery_5	2022	0
CAISO_New_Flow_Battery_5	2026	0
CAISO_New_Flow_Battery_5	2030	0
CAISO_New_Li_Battery	2020	833.21
CAISO_New_Li_Battery	2022	1282.04333333333
CAISO_New_Li_Battery	2026	1479.31
CAISO_New_Li_Battery	2030	1479.31
CAISO_BTM_Li_Battery	2020	0
CAISO_BTM_Li_Battery	2022	0
CAISO_BTM_Li_Battery	2026	0
CAISO_BTM_Li_Battery	2030	0
CAISO_New_Li_Battery_2	2020	0
CAISO_New_Li_Battery_2	2022	0
CAISO_New_Li_Battery_2	2026	0
CAISO_New_Li_Battery_2	2030	0
CAISO_New_Li_Battery_3	2020	0
CAISO_New_Li_Battery_3	2022	0
CAISO_New_Li_Battery_3	2026	0
CAISO_New_Li_Battery_3	2030	0
CAISO_New_Li_Battery_4	2020	0
CAISO_New_Li_Battery_4	2022	0
CAISO_New_Li_Battery_4	2026	0
CAISO_New_Li_Battery_4	2030	0
CAISO_New_Li_Battery_5	2020	0
CAISO_New_Li_Battery_5	2022	0
CAISO_New_Li_Battery_5	2026	0
CAISO_New_Li_Battery_5	2030	0
CAISO_New_Li_Battery_6	2020	0
CAISO_New_Li_Battery_6	2022	0
CAISO_New_Li_Battery_6	2026	0
CAISO_New_Li_Battery_6	2030	0
CAISO_Shed_DR_Tranche1	2020	0
CAISO_Shed_DR_Tranche1	2022	0
CAISO_Shed_DR_Tranche1	2026	0
CAISO_Shed_DR_Tranche1	2030	0
CAISO_Shed_DR_Tranche2	2020	0
CAISO_Shed_DR_Tranche2	2022	0
CAISO_Shed_DR_Tranche2	2026	0
CAISO_Shed_DR_Tranche2	2030	0
CAISO_Shed_DR_Tranche3	2020	0
CAISO_Shed_DR_Tranche3	2022	0
CAISO_Shed_DR_Tranche3	2026	0
CAISO_Shed_DR_Tranche3	2030	0
CAISO_Shed_DR_Tranche4	2020	0
CAISO_Shed_DR_Tranche4	2022	0
CAISO_Shed_DR_Tranche4	2026	0
CAISO_Shed_DR_Tranche4	2030	0
CAISO_Shed_DR_Tranche5	2020	0
CAISO_Shed_DR_Tranche5	2022	0
CAISO_Shed_DR_Tranche5	2026	0
CAISO_Shed_DR_Tranche5	2030	0
CAISO_Shed_DR_Tranche6	2020	0
CAISO_Shed_DR_Tranche6	2022	0
CAISO_Shed_DR_Tranche6	2026	0
CAISO_Shed_DR_Tranche6	2030	0
CAISO_Shed_DR_Tranche7	2020	0
CAISO_Shed_DR_Tranche7	2022	0
CAISO_Shed_DR_Tranche7	2026	0
CAISO_Shed_DR_Tranche7	2030	0
CAISO_Shed_DR_Tranche8	2020	0
CAISO_Shed_DR_Tranche8	2022	0
CAISO_Shed_DR_Tranche8	2026	0
CAISO_Shed_DR_Tranche8	2030	0
