resource	period	min_cumulative_build_by_year
Solano_subzone_Solar	2020	0
Solano_subzone_Solar	2022	0
Solano_subzone_Solar	2026	0
Solano_subzone_Solar	2030	0
Solano_subzone_Solar	2035	0
Solano_subzone_Solar	2040	0
Solano_subzone_Solar	2045	0
Solano_subzone_Wind	2020	0
Solano_subzone_Wind	2022	0
Solano_subzone_Wind	2026	0
Solano_subzone_Wind	2030	0
Solano_subzone_Wind	2035	0
Solano_subzone_Wind	2040	0
Solano_subzone_Wind	2045	0
Solano_Wind	2020	0
Solano_Wind	2022	0
Solano_Wind	2026	0
Solano_Wind	2030	0
Solano_Wind	2035	0
Solano_Wind	2040	0
Solano_Wind	2045	0
Southern_California_Desert_Ex_Solar	2020	0
Southern_California_Desert_Ex_Solar	2022	0
Southern_California_Desert_Ex_Solar	2026	0
Southern_California_Desert_Ex_Solar	2030	0
Southern_California_Desert_Ex_Solar	2035	0
Southern_California_Desert_Ex_Solar	2040	0
Southern_California_Desert_Ex_Solar	2045	0
Southern_California_Desert_Ex_Wind	2020	0
Southern_California_Desert_Ex_Wind	2022	0
Southern_California_Desert_Ex_Wind	2026	0
Southern_California_Desert_Ex_Wind	2030	0
Southern_California_Desert_Ex_Wind	2035	0
Southern_California_Desert_Ex_Wind	2040	0
Southern_California_Desert_Ex_Wind	2045	0
Southern_Nevada_Solar	2020	0
Southern_Nevada_Solar	2022	0
Southern_Nevada_Solar	2026	0
Southern_Nevada_Solar	2030	0
Southern_Nevada_Solar	2035	0
Southern_Nevada_Solar	2040	0
Southern_Nevada_Solar	2045	0
Southern_Nevada_Wind	2020	0
Southern_Nevada_Wind	2022	0
Southern_Nevada_Wind	2026	0
Southern_Nevada_Wind	2030	0
Southern_Nevada_Wind	2035	0
Southern_Nevada_Wind	2040	0
Southern_Nevada_Wind	2045	0
SW_Ext_Tx_Wind	2020	0
SW_Ext_Tx_Wind	2022	0
SW_Ext_Tx_Wind	2026	0
SW_Ext_Tx_Wind	2030	0
SW_Ext_Tx_Wind	2035	0
SW_Ext_Tx_Wind	2040	0
SW_Ext_Tx_Wind	2045	0
Tehachapi_Ex_Solar	2020	0
Tehachapi_Ex_Solar	2022	0
Tehachapi_Ex_Solar	2026	0
Tehachapi_Ex_Solar	2030	0
Tehachapi_Ex_Solar	2035	0
Tehachapi_Ex_Solar	2040	0
Tehachapi_Ex_Solar	2045	0
Tehachapi_Solar	2020	0
Tehachapi_Solar	2022	0
Tehachapi_Solar	2026	0
Tehachapi_Solar	2030	0
Tehachapi_Solar	2035	0
Tehachapi_Solar	2040	0
Tehachapi_Solar	2045	0
Tehachapi_Wind	2020	0
Tehachapi_Wind	2022	0
Tehachapi_Wind	2026	0
Tehachapi_Wind	2030	0
Tehachapi_Wind	2035	0
Tehachapi_Wind	2040	0
Tehachapi_Wind	2045	0
Westlands_Ex_Solar	2020	0
Westlands_Ex_Solar	2022	0
Westlands_Ex_Solar	2026	0
Westlands_Ex_Solar	2030	0
Westlands_Ex_Solar	2035	0
Westlands_Ex_Solar	2040	0
Westlands_Ex_Solar	2045	0
Westlands_Solar	2020	0
Westlands_Solar	2022	0
Westlands_Solar	2026	0
Westlands_Solar	2030	0
Westlands_Solar	2035	0
Westlands_Solar	2040	0
Westlands_Solar	2045	0
Arizona_Solar	2020	0
Arizona_Solar	2022	0
Arizona_Solar	2026	0
Arizona_Solar	2030	0
Arizona_Solar	2035	0
Arizona_Solar	2040	0
Arizona_Solar	2045	0
Arizona_Wind	2020	0
Arizona_Wind	2022	0
Arizona_Wind	2026	0
Arizona_Wind	2030	0
Arizona_Wind	2035	0
Arizona_Wind	2040	0
Arizona_Wind	2045	0
Baja_California_Solar	2020	0
Baja_California_Solar	2022	0
Baja_California_Solar	2026	0
Baja_California_Solar	2030	0
Baja_California_Solar	2035	0
Baja_California_Solar	2040	0
Baja_California_Solar	2045	0
Baja_California_Wind	2020	0
Baja_California_Wind	2022	0
Baja_California_Wind	2026	0
Baja_California_Wind	2030	0
Baja_California_Wind	2035	0
Baja_California_Wind	2040	0
Baja_California_Wind	2045	0
Idaho_Wind	2020	0
Idaho_Wind	2022	0
Idaho_Wind	2026	0
Idaho_Wind	2030	0
Idaho_Wind	2035	0
Idaho_Wind	2040	0
Idaho_Wind	2045	0
New_Mexico_Solar	2020	0
New_Mexico_Solar	2022	0
New_Mexico_Solar	2026	0
New_Mexico_Solar	2030	0
New_Mexico_Solar	2035	0
New_Mexico_Solar	2040	0
New_Mexico_Solar	2045	0
New_Mexico_Wind	2020	0
New_Mexico_Wind	2022	0
New_Mexico_Wind	2026	0
New_Mexico_Wind	2030	0
New_Mexico_Wind	2035	0
New_Mexico_Wind	2040	0
New_Mexico_Wind	2045	0
Utah_Solar	2020	0
Utah_Solar	2022	0
Utah_Solar	2026	0
Utah_Solar	2030	0
Utah_Solar	2035	0
Utah_Solar	2040	0
Utah_Solar	2045	0
Utah_Wind	2020	0
Utah_Wind	2022	0
Utah_Wind	2026	0
Utah_Wind	2030	0
Utah_Wind	2035	0
Utah_Wind	2040	0
Utah_Wind	2045	0
Wyoming_Wind	2020	0
Wyoming_Wind	2022	0
Wyoming_Wind	2026	0
Wyoming_Wind	2030	0
Wyoming_Wind	2035	0
Wyoming_Wind	2040	0
Wyoming_Wind	2045	0
CAISO_New_Pumped_Storage	2020	0
CAISO_New_Pumped_Storage	2022	0
CAISO_New_Pumped_Storage	2026	0
CAISO_New_Pumped_Storage	2030	0
CAISO_New_Pumped_Storage	2035	0
CAISO_New_Pumped_Storage	2040	0
CAISO_New_Pumped_Storage	2045	0
CAISO_New_Flow_Battery	2020	0
CAISO_New_Flow_Battery	2022	0
CAISO_New_Flow_Battery	2026	0
CAISO_New_Flow_Battery	2030	0
CAISO_New_Flow_Battery	2035	0
CAISO_New_Flow_Battery	2040	0
CAISO_New_Flow_Battery	2045	0
CAISO_New_Flow_Battery_2	2020	0
CAISO_New_Flow_Battery_2	2022	0
CAISO_New_Flow_Battery_2	2026	0
CAISO_New_Flow_Battery_2	2030	0
CAISO_New_Flow_Battery_2	2035	0
CAISO_New_Flow_Battery_2	2040	0
CAISO_New_Flow_Battery_2	2045	0
CAISO_New_Flow_Battery_3	2020	0
CAISO_New_Flow_Battery_3	2022	0
CAISO_New_Flow_Battery_3	2026	0
CAISO_New_Flow_Battery_3	2030	0
CAISO_New_Flow_Battery_3	2035	0
CAISO_New_Flow_Battery_3	2040	0
CAISO_New_Flow_Battery_3	2045	0
CAISO_New_Flow_Battery_4	2020	0
CAISO_New_Flow_Battery_4	2022	0
CAISO_New_Flow_Battery_4	2026	0
CAISO_New_Flow_Battery_4	2030	0
CAISO_New_Flow_Battery_4	2035	0
CAISO_New_Flow_Battery_4	2040	0
CAISO_New_Flow_Battery_4	2045	0
CAISO_New_Flow_Battery_5	2020	0
CAISO_New_Flow_Battery_5	2022	0
CAISO_New_Flow_Battery_5	2026	0
CAISO_New_Flow_Battery_5	2030	0
CAISO_New_Flow_Battery_5	2035	0
CAISO_New_Flow_Battery_5	2040	0
CAISO_New_Flow_Battery_5	2045	0
CAISO_New_Li_Battery	2020	833.21
CAISO_New_Li_Battery	2022	1282.04333333333
CAISO_New_Li_Battery	2026	1479.31
CAISO_New_Li_Battery	2030	1479.31
CAISO_New_Li_Battery	2035	1479.31
CAISO_New_Li_Battery	2040	1479.31
CAISO_New_Li_Battery	2045	1479.31
CAISO_BTM_Li_Battery	2020	0
CAISO_BTM_Li_Battery	2022	0
CAISO_BTM_Li_Battery	2026	0
CAISO_BTM_Li_Battery	2030	0
CAISO_BTM_Li_Battery	2035	0
CAISO_BTM_Li_Battery	2040	0
CAISO_BTM_Li_Battery	2045	0
CAISO_New_Li_Battery_2	2020	0
CAISO_New_Li_Battery_2	2022	0
CAISO_New_Li_Battery_2	2026	0
CAISO_New_Li_Battery_2	2030	0
CAISO_New_Li_Battery_2	2035	0
CAISO_New_Li_Battery_2	2040	0
CAISO_New_Li_Battery_2	2045	0
CAISO_New_Li_Battery_3	2020	0
CAISO_New_Li_Battery_3	2022	0
CAISO_New_Li_Battery_3	2026	0
CAISO_New_Li_Battery_3	2030	0
CAISO_New_Li_Battery_3	2035	0
CAISO_New_Li_Battery_3	2040	0
CAISO_New_Li_Battery_3	2045	0
CAISO_New_Li_Battery_4	2020	0
CAISO_New_Li_Battery_4	2022	0
CAISO_New_Li_Battery_4	2026	0
CAISO_New_Li_Battery_4	2030	0
CAISO_New_Li_Battery_4	2035	0
CAISO_New_Li_Battery_4	2040	0
CAISO_New_Li_Battery_4	2045	0
CAISO_New_Li_Battery_5	2020	0
CAISO_New_Li_Battery_5	2022	0
CAISO_New_Li_Battery_5	2026	0
CAISO_New_Li_Battery_5	2030	0
CAISO_New_Li_Battery_5	2035	0
CAISO_New_Li_Battery_5	2040	0
CAISO_New_Li_Battery_5	2045	0
CAISO_New_Li_Battery_6	2020	0
CAISO_New_Li_Battery_6	2022	0
CAISO_New_Li_Battery_6	2026	0
CAISO_New_Li_Battery_6	2030	0
CAISO_New_Li_Battery_6	2035	0
CAISO_New_Li_Battery_6	2040	0
CAISO_New_Li_Battery_6	2045	0
CAISO_Shed_DR_Tranche1	2020	0
CAISO_Shed_DR_Tranche1	2022	0
CAISO_Shed_DR_Tranche1	2026	0
CAISO_Shed_DR_Tranche1	2030	0
CAISO_Shed_DR_Tranche1	2035	0
CAISO_Shed_DR_Tranche1	2040	0
CAISO_Shed_DR_Tranche1	2045	0
CAISO_Shed_DR_Tranche2	2020	0
CAISO_Shed_DR_Tranche2	2022	0
CAISO_Shed_DR_Tranche2	2026	0
CAISO_Shed_DR_Tranche2	2030	0
CAISO_Shed_DR_Tranche2	2035	0
CAISO_Shed_DR_Tranche2	2040	0
CAISO_Shed_DR_Tranche2	2045	0
CAISO_Shed_DR_Tranche3	2020	0
CAISO_Shed_DR_Tranche3	2022	0
CAISO_Shed_DR_Tranche3	2026	0
CAISO_Shed_DR_Tranche3	2030	0
CAISO_Shed_DR_Tranche3	2035	0
CAISO_Shed_DR_Tranche3	2040	0
CAISO_Shed_DR_Tranche3	2045	0
CAISO_Shed_DR_Tranche4	2020	0
CAISO_Shed_DR_Tranche4	2022	0
CAISO_Shed_DR_Tranche4	2026	0
CAISO_Shed_DR_Tranche4	2030	0
CAISO_Shed_DR_Tranche4	2035	0
CAISO_Shed_DR_Tranche4	2040	0
CAISO_Shed_DR_Tranche4	2045	0
CAISO_Shed_DR_Tranche5	2020	0
CAISO_Shed_DR_Tranche5	2022	0
CAISO_Shed_DR_Tranche5	2026	0
CAISO_Shed_DR_Tranche5	2030	0
CAISO_Shed_DR_Tranche5	2035	0
CAISO_Shed_DR_Tranche5	2040	0
CAISO_Shed_DR_Tranche5	2045	0
CAISO_Shed_DR_Tranche6	2020	0
CAISO_Shed_DR_Tranche6	2022	0
CAISO_Shed_DR_Tranche6	2026	0
CAISO_Shed_DR_Tranche6	2030	0
CAISO_Shed_DR_Tranche6	2035	0
CAISO_Shed_DR_Tranche6	2040	0
CAISO_Shed_DR_Tranche6	2045	0
CAISO_Shed_DR_Tranche7	2020	0
CAISO_Shed_DR_Tranche7	2022	0
CAISO_Shed_DR_Tranche7	2026	0
CAISO_Shed_DR_Tranche7	2030	0
CAISO_Shed_DR_Tranche7	2035	0
CAISO_Shed_DR_Tranche7	2040	0
CAISO_Shed_DR_Tranche7	2045	0
CAISO_Shed_DR_Tranche8	2020	0
CAISO_Shed_DR_Tranche8	2022	0
CAISO_Shed_DR_Tranche8	2026	0
CAISO_Shed_DR_Tranche8	2030	0
CAISO_Shed_DR_Tranche8	2035	0
CAISO_Shed_DR_Tranche8	2040	0
CAISO_Shed_DR_Tranche8	2045	0
