resource	period	capacity_limit_mw
Tehachapi_Wind	2030	24.3774991391714
Westlands_Ex_Solar	2020	4404
Westlands_Ex_Solar	2022	4404
Westlands_Ex_Solar	2026	4404
Westlands_Ex_Solar	2030	4404
Westlands_Solar	2020	56150.5
Westlands_Solar	2022	56150.5
Westlands_Solar	2026	56150.5
Westlands_Solar	2030	56150.5
CAISO_New_Pumped_Storage	2020	0
CAISO_New_Pumped_Storage	2022	0
CAISO_New_Pumped_Storage	2026	4000
CAISO_New_Pumped_Storage	2030	4000
CAISO_New_Flow_Battery	2020	7774.02031387436
CAISO_New_Flow_Battery	2022	7458.37764612962
CAISO_New_Flow_Battery	2026	7375.94129782615
CAISO_New_Flow_Battery	2030	7414.23179886914
CAISO_New_Flow_Battery_2	2020	4484.11227666857
CAISO_New_Flow_Battery_2	2022	4605.7999554128
CAISO_New_Flow_Battery_2	2026	4757.73080649427
CAISO_New_Flow_Battery_2	2030	4858.53674891564
CAISO_New_Flow_Battery_3	2020	4484.11227666857
CAISO_New_Flow_Battery_3	2022	4605.7999554128
CAISO_New_Flow_Battery_3	2026	4757.73080649427
CAISO_New_Flow_Battery_3	2030	4858.53674891564
CAISO_New_Flow_Battery_4	2020	4484.11227666857
CAISO_New_Flow_Battery_4	2022	4605.7999554128
CAISO_New_Flow_Battery_4	2026	4757.73080649427
CAISO_New_Flow_Battery_4	2030	4858.53674891564
CAISO_New_Li_Battery	2020	8607.23031387436
CAISO_New_Li_Battery	2022	8740.42097946295
CAISO_New_Li_Battery	2026	8855.25129782615
CAISO_New_Li_Battery	2030	8893.54179886914
CAISO_BTM_Li_Battery	2020	99999
CAISO_BTM_Li_Battery	2022	99999
CAISO_BTM_Li_Battery	2026	99999
CAISO_BTM_Li_Battery	2030	99999
CAISO_New_Li_Battery_2	2020	4484.11227666857
CAISO_New_Li_Battery_2	2022	4605.7999554128
CAISO_New_Li_Battery_2	2026	4757.73080649427
CAISO_New_Li_Battery_2	2030	4858.53674891564
CAISO_New_Li_Battery_3	2020	4484.11227666857
CAISO_New_Li_Battery_3	2022	4605.7999554128
CAISO_New_Li_Battery_3	2026	4757.73080649427
CAISO_New_Li_Battery_3	2030	4858.53674891564
CAISO_New_Li_Battery_4	2020	4484.11227666857
CAISO_New_Li_Battery_4	2022	4605.7999554128
CAISO_New_Li_Battery_4	2026	4757.73080649427
CAISO_New_Li_Battery_4	2030	4858.53674891564
CAISO_Shed_DR_Tranche1	2020	0
CAISO_Shed_DR_Tranche1	2022	0
CAISO_Shed_DR_Tranche1	2026	0
CAISO_Shed_DR_Tranche1	2030	0
CAISO_Shed_DR_Tranche2	2020	0
CAISO_Shed_DR_Tranche2	2022	0
CAISO_Shed_DR_Tranche2	2026	0
CAISO_Shed_DR_Tranche2	2030	0
CAISO_Shed_DR_Tranche3	2020	440.704154
CAISO_Shed_DR_Tranche3	2022	440.704154
CAISO_Shed_DR_Tranche3	2026	440.704154
CAISO_Shed_DR_Tranche3	2030	440.704154
CAISO_Shed_DR_Tranche4	2020	670.511618
CAISO_Shed_DR_Tranche4	2022	670.511618
CAISO_Shed_DR_Tranche4	2026	670.511618
CAISO_Shed_DR_Tranche4	2030	670.511618
CAISO_Shed_DR_Tranche5	2020	605.067567
CAISO_Shed_DR_Tranche5	2022	605.067567
CAISO_Shed_DR_Tranche5	2026	605.067567
CAISO_Shed_DR_Tranche5	2030	605.067567
CAISO_Shed_DR_Tranche6	2020	440.637926
CAISO_Shed_DR_Tranche6	2022	440.637926
CAISO_Shed_DR_Tranche6	2026	440.637926
CAISO_Shed_DR_Tranche6	2030	440.637926
CAISO_Shed_DR_Tranche7	2020	339.031366
CAISO_Shed_DR_Tranche7	2022	339.031366
CAISO_Shed_DR_Tranche7	2026	339.031366
CAISO_Shed_DR_Tranche7	2030	339.031366
CAISO_Shed_DR_Tranche8	2020	250.370835
CAISO_Shed_DR_Tranche8	2022	250.370835
CAISO_Shed_DR_Tranche8	2026	250.370835
CAISO_Shed_DR_Tranche8	2030	250.370835
